product_category_name_english,total_revenue
agro_industry_and_commerce,72530.47
air_conditioning,55024.96
art,24202.64
arts_and_craftmanship,1814.01
audio,50688.5
auto,592720.11
baby,411764.89
bed_bath_table,1036988.68
books_general_interest,46856.88
books_imported,4639.85
books_technical,19096.06
cds_dvds_musicals,730.0
christmas_supplies,8800.82
cine_photo,6933.46
computers,222963.13
computers_accessories,911954.32
consoles_games,157465.22
construction_tools_construction,144677.59
construction_tools_lights,41080.0
construction_tools_safety,40544.52
cool_stuff,635290.85
costruction_tools_garden,25715.89
costruction_tools_tools,15903.95
diapers_and_hygiene,1567.59
drinks,22428.7
dvds_blu_ray,5999.39
electronics,160246.74
fashio_female_clothing,2803.64
fashion_bags_accessories,152823.54
fashion_childrens_clothes,569.85
fashion_male_clothing,10797.82
fashion_shoes,23562.77
fashion_sport,2119.51
fashion_underwear_beach,9541.55
fixed_telephony,59583.0
flowers,1110.04
food,29393.41
food_drink,15179.48
furniture_bedroom,20028.78
furniture_decor,729762.49
furniture_living_room,68916.56
furniture_mattress_and_upholstery,4368.08
garden_tools,485256.46
health_beauty,1258681.34
home_appliances,80171.53
home_appliances_2,113317.74
home_comfort_2,760.27
home_confort,58572.04
home_construction,83088.12
housewares,632248.66
industry_commerce_and_business,39669.61
kitchen_dining_laundry_garden_furniture,46328.37
la_cuisine,2054.99
luggage_accessories,140429.98
market_place,28378.47
music,6034.35
musical_instruments,191498.88
office_furniture,273960.7
party_supplies,4485.18
pc_gamer,1545.95
perfumery,399124.87
pet_shop,214315.41
portateis_cozinha_e_preparadores_de_alimentos,3968.5299999999997
security_and_services,283.28999999999996
signaling_and_security,21509.23
small_appliances,190648.58
small_appliances_home_oven_and_coffee,47445.71
sports_leisure,988048.97
stationery,230943.23
tablets_printing_image,7528.41
telephony,323667.52999999997
toys,483946.6
watches_gifts,1205005.68
